dt device_translation_speed_cmd device_rotation_speed_cmd 
0.100000000 2.024078369 -0.006031990
0.100000000 2.024078369 -0.022691488
0.100000000 2.024078369 -0.022691488
0.100000000 2.017974854 -0.089977384
0.100000000 2.017974854 -0.089977384
0.100000000 2.009010315 -0.203141570
0.100000000 2.009010315 -0.203141570
0.100000000 2.015266418 -0.155016184
0.100000000 2.015266418 -0.155016184
0.100000000 2.020339966 -0.074937940
0.100000000 2.020339966 -0.074937940
0.100000000 2.022247314 -0.015133023
0.100000000 2.022247314 -0.015133023
0.100000000 2.021560669 0.024621487
0.100000000 2.021560669 0.024621487
0.100000000 2.006912231 -0.154705644
0.100000000 2.006912231 -0.154705644
0.100000000 1.975479126 -0.372582674
0.100000000 1.975479126 -0.372582674
0.100000000 1.993064880 -0.277239084
0.100000000 1.993064880 -0.277239084
0.100000000 2.012405396 -0.104891658
0.100000000 2.012405396 -0.104891658
0.100000000 2.019004822 -0.007728934
0.100000000 2.019004822 -0.007728934
0.100000000 2.021293640 0.016341209
0.100000000 2.021293640 0.016341209
0.100000000 2.022094727 -0.004449487
0.100000000 2.022094727 -0.004449487
0.100000000 2.021408081 -0.044392943
0.100000000 2.021408081 -0.044392943
0.100000000 2.020416260 -0.076992512
0.100000000 2.020416260 -0.076992512
0.100000000 2.020263672 -0.073840916
0.100000000 2.020263672 -0.073840916
0.100000000 2.020263672 -0.077632964
0.100000000 2.020263672 -0.077632964
0.100000000 2.020263672 -0.074672401
0.100000000 2.020263672 -0.074672401
0.100000000 2.019958496 -0.073864162
0.100000000 2.019958496 -0.073864162
0.100000000 2.010955811 -0.173650384
0.100000000 2.010955811 -0.173650384
0.100000000 1.972274780 -0.400771797
0.100000000 1.972274780 -0.400771797
0.100000000 1.960754395 -0.459503233
0.100000000 1.960754395 -0.459503233
0.100000000 1.991271973 -0.314299464
0.100000000 1.991271973 -0.314299464
0.100000000 2.008209229 -0.197490156
0.100000000 2.008209229 -0.197490156
0.100000000 2.016143799 -0.115568936
0.100000000 2.016143799 -0.115568936
0.100000000 2.019424438 -0.065627098
0.100000000 2.019424438 -0.065627098
0.100000000 2.020492554 -0.038787127
0.100000000 2.020492554 -0.038787127
